@relation folhas_neem

@attribute area_folha numeric
@attribute area_manchas numeric
@attribute cor_media numeric
@attribute classe {saudavel,doente}

@data
13236.00,294418.00,168.40,saudavel
17381.00,290164.00,166.89,saudavel
16583.00,290823.00,164.58,saudavel
12345.00,295185.00,159.78,saudavel
11097.00,296450.00,169.39,saudavel
8870.00,298557.00,163.38,saudavel
12840.00,294827.00,153.47,saudavel
14169.00,293867.00,170.82,saudavel
18052.00,289634.00,165.05,saudavel
11858.00,295261.00,169.71,saudavel
14698.00,292822.00,162.06,saudavel
10863.00,296326.00,168.51,saudavel
7269.00,300215.00,172.96,saudavel
12561.00,295654.00,171.81,saudavel
14025.00,293739.00,160.51,saudavel
13670.00,294040.00,166.07,saudavel
15520.00,292120.00,166.53,saudavel
7388.00,300009.00,174.47,saudavel
16995.00,290618.00,170.76,saudavel
10766.00,296768.00,175.57,saudavel
11878.00,296713.00,164.59,saudavel
3607.00,268371.00,169.09,saudavel
40293.00,262052.00,171.38,saudavel
10319.00,297154.00,170.98,saudavel
22179.00,285452.00,163.75,saudavel
14872.00,274180.00,167.17,saudavel
13411.00,293892.00,191.50,saudavel
12923.00,294657.00,168.36,saudavel
11183.00,296321.00,160.31,saudavel
12570.00,294773.00,176.53,saudavel
12941.00,294766.00,160.12,saudavel
10435.00,297077.00,168.51,saudavel
11514.00,295971.00,174.32,saudavel
10776.00,299373.00,169.41,saudavel
9810.00,297695.00,164.43,saudavel
9366.00,298067.00,167.19,saudavel
7634.00,299884.00,160.72,saudavel
8753.00,299324.00,172.55,saudavel
12983.00,294332.00,192.31,saudavel
9179.00,298182.00,180.50,saudavel
14146.00,293400.00,174.13,saudavel
15464.00,293037.00,169.95,saudavel
15061.00,292471.00,168.08,saudavel
11353.00,296264.00,164.65,saudavel
23355.00,284001.00,192.57,saudavel
32085.00,275742.00,193.00,saudavel
5426.00,301994.00,165.90,saudavel
16159.00,291469.00,199.14,saudavel
13586.00,293687.00,195.20,saudavel
16454.00,290905.00,196.89,saudavel
8243.00,299384.00,165.18,saudavel
22544.00,284795.00,192.50,saudavel
20996.00,286670.00,191.48,saudavel
12517.00,294824.00,182.53,saudavel
24188.00,283637.00,193.53,saudavel
26471.00,281057.00,195.52,saudavel
12818.00,294701.00,163.45,saudavel
21652.00,286205.00,193.34,saudavel
7683.00,299641.00,168.22,saudavel
23614.00,283999.00,193.79,saudavel
22284.00,285321.00,194.09,saudavel
12736.00,294908.00,152.74,saudavel
24791.00,283671.00,193.77,saudavel
24765.00,283409.00,194.51,saudavel
23365.00,284341.00,171.01,saudavel
23706.00,284002.00,194.62,saudavel
21872.00,286022.00,194.86,saudavel
10067.00,297179.00,173.65,saudavel
18427.00,289234.00,195.98,saudavel
11641.00,295828.00,167.04,saudavel
12390.00,295166.00,167.78,saudavel
18703.00,288864.00,195.02,saudavel
12210.00,295109.00,198.42,saudavel
14138.00,293651.00,176.82,saudavel
18533.00,289469.00,193.83,saudavel
23595.00,284148.00,191.43,saudavel
21006.00,286773.00,193.06,saudavel
25792.00,282121.00,191.94,saudavel
19718.00,288033.00,192.73,saudavel
22380.00,285045.00,193.73,saudavel
16633.00,290757.00,173.86,saudavel
19011.00,288579.00,195.73,saudavel
23804.00,283572.00,184.88,saudavel
16015.00,291564.00,162.52,saudavel
6488.00,300803.00,165.71,saudavel
6835.00,300429.00,164.19,saudavel
23313.00,284535.00,192.99,saudavel
15313.00,292097.00,195.81,saudavel
16592.00,291539.00,194.90,saudavel
20297.00,287701.00,194.11,saudavel
17587.00,290217.00,191.88,saudavel
19910.00,288125.00,194.85,saudavel
30506.00,277805.00,189.57,saudavel
17201.00,290677.00,194.96,saudavel
19628.00,287870.00,194.06,saudavel
12816.00,294779.00,166.94,saudavel
12825.00,294772.00,163.97,saudavel
9416.00,298181.00,181.34,saudavel
10975.00,296578.00,175.65,saudavel
14917.00,292849.00,169.41,saudavel
14689.00,292945.00,168.49,saudavel
14406.00,293194.00,170.63,saudavel
18566.00,289036.00,169.35,saudavel
22073.00,285447.00,168.29,saudavel
9500.00,297803.00,183.35,saudavel
18997.00,288584.00,167.49,saudavel
15291.00,292253.00,167.23,saudavel
17920.00,289615.00,167.80,saudavel
16521.00,291016.00,169.53,saudavel
